LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GDP Value,Flag Codes
AUT,GDP,TOT,MLN_USD,A,1985,110270.2573,E
AUT,GDP,TOT,MLN_USD,A,1986,115084.0504,E
AUT,GDP,TOT,MLN_USD,A,1987,119621.9168,E
AUT,GDP,TOT,MLN_USD,A,1988,127890.3863,E
AUT,GDP,TOT,MLN_USD,A,1989,138027.2656,E
AUT,GDP,TOT,MLN_USD,A,1990,149353.1623,E
AUT,GDP,TOT,MLN_USD,A,1991,159635.6727,E
AUT,GDP,TOT,MLN_USD,A,1992,166692.8438,E
AUT,GDP,TOT,MLN_USD,A,1993,171557.9497,E
AUT,GDP,TOT,MLN_USD,A,1994,179417.6574,E
AUT,GDP,TOT,MLN_USD,A,1995,188046.4012,
AUT,GDP,TOT,MLN_USD,A,1996,195186.0696,
AUT,GDP,TOT,MLN_USD,A,1997,202486.7239,
AUT,GDP,TOT,MLN_USD,A,1998,212603.9928,
AUT,GDP,TOT,MLN_USD,A,1999,220639.939,
AUT,GDP,TOT,MLN_USD,A,2000,235342.9303,
AUT,GDP,TOT,MLN_USD,A,2001,239177.4006,
AUT,GDP,TOT,MLN_USD,A,2002,251984.7843,
AUT,GDP,TOT,MLN_USD,A,2003,260750.0472,
AUT,GDP,TOT,MLN_USD,A,2004,275845.7971,
AUT,GDP,TOT,MLN_USD,A,2005,288086.7221,
AUT,GDP,TOT,MLN_USD,A,2006,311132.208,
AUT,GDP,TOT,MLN_USD,A,2007,326723.7622,
AUT,GDP,TOT,MLN_USD,A,2008,343812.9764,
AUT,GDP,TOT,MLN_USD,A,2009,341401.731,
AUT,GDP,TOT,MLN_USD,A,2010,351656.1491,
AUT,GDP,TOT,MLN_USD,A,2011,373031.477,
AUT,GDP,TOT,MLN_USD,A,2012,391635.1762,
AUT,GDP,TOT,MLN_USD,A,2013,406370.2445,
AUT,GDP,TOT,MLN_USD,A,2014,416955.0491,
AUT,GDP,TOT,MLN_USD,A,2015,431124.3728,
AUT,GDP,TOT,MLN_USD,A,2016,441389.2926,
AUT,GDP,TOT,MLN_USD,A,2017,461582.9639,
AUT,GDP,TOT,USD_CAP,A,1970,3834.186274,E
AUT,GDP,TOT,USD_CAP,A,1971,4215.680804,E
AUT,GDP,TOT,USD_CAP,A,1972,4644.59478,E
AUT,GDP,TOT,USD_CAP,A,1973,5108.264528,E
AUT,GDP,TOT,USD_CAP,A,1974,5776.797781,E
AUT,GDP,TOT,USD_CAP,A,1975,6305.539334,E
AUT,GDP,TOT,USD_CAP,A,1976,6968.044666,E
AUT,GDP,TOT,USD_CAP,A,1977,7773.217807,E
AUT,GDP,TOT,USD_CAP,A,1978,8308.19608,E
AUT,GDP,TOT,USD_CAP,A,1979,9492.066592,E
AUT,GDP,TOT,USD_CAP,A,1980,10527.27686,E
AUT,GDP,TOT,USD_CAP,A,1981,11464.2473,E
AUT,GDP,TOT,USD_CAP,A,1982,12411.43452,E
AUT,GDP,TOT,USD_CAP,A,1983,13306.5421,E
AUT,GDP,TOT,USD_CAP,A,1984,13786.62268,E
AUT,GDP,TOT,USD_CAP,A,1985,14576.40324,E
AUT,GDP,TOT,USD_CAP,A,1986,15203.06239,E
AUT,GDP,TOT,USD_CAP,A,1987,15792.53531,E
AUT,GDP,TOT,USD_CAP,A,1988,16860.25598,E
AUT,GDP,TOT,USD_CAP,A,1989,18114.84612,E
AUT,GDP,TOT,USD_CAP,A,1990,19452.47202,E
AUT,GDP,TOT,USD_CAP,A,1991,20585.16008,E
AUT,GDP,TOT,USD_CAP,A,1992,21259.91971,E
AUT,GDP,TOT,USD_CAP,A,1993,21700.72547,E
AUT,GDP,TOT,USD_CAP,A,1994,22607.73559,E
AUT,GDP,TOT,USD_CAP,A,1995,23658.75995,
AUT,GDP,TOT,USD_CAP,A,1996,24523.89462,
AUT,GDP,TOT,USD_CAP,A,1997,25412.35969,
AUT,GDP,TOT,USD_CAP,A,1998,26652.82895,
AUT,GDP,TOT,USD_CAP,A,1999,27606.48424,
AUT,GDP,TOT,USD_CAP,A,2000,29375.3968,
AUT,GDP,TOT,USD_CAP,A,2001,29739.95111,
AUT,GDP,TOT,USD_CAP,A,2002,31178.05144,
AUT,GDP,TOT,USD_CAP,A,2003,32119.01676,
AUT,GDP,TOT,USD_CAP,A,2004,33765.56574,
AUT,GDP,TOT,USD_CAP,A,2005,35024.55748,
AUT,GDP,TOT,USD_CAP,A,2006,37631.12782,
AUT,GDP,TOT,USD_CAP,A,2007,39387.13901,
AUT,GDP,TOT,USD_CAP,A,2008,41316.02264,
AUT,GDP,TOT,USD_CAP,A,2009,40928.1816,
AUT,GDP,TOT,USD_CAP,A,2010,42058.75458,
AUT,GDP,TOT,USD_CAP,A,2011,44469.20964,
AUT,GDP,TOT,USD_CAP,A,2012,46477.65508,
AUT,GDP,TOT,USD_CAP,A,2013,47936.67796,
AUT,GDP,TOT,USD_CAP,A,2014,48801.30707,
AUT,GDP,TOT,USD_CAP,A,2015,49959.25877,
AUT,GDP,TOT,USD_CAP,A,2016,50503.32841,
AUT,GDP,TOT,USD_CAP,A,2017,52467.527,
BEL,GDP,TOT,MLN_USD,A,1970,37554.5595,E
BEL,GDP,TOT,MLN_USD,A,1971,40942.4649,E
BEL,GDP,TOT,MLN_USD,A,1972,44959.9015,E
BEL,GDP,TOT,MLN_USD,A,1973,50309.0269,E
BEL,GDP,TOT,MLN_USD,A,1974,57130.9073,E
BEL,GDP,TOT,MLN_USD,A,1975,61593.7022,E
BEL,GDP,TOT,MLN_USD,A,1976,68647.3926,E
BEL,GDP,TOT,MLN_USD,A,1977,73362.056,E
BEL,GDP,TOT,MLN_USD,A,1978,80744.2774,E
BEL,GDP,TOT,MLN_USD,A,1979,89456.7715,E
BEL,GDP,TOT,MLN_USD,A,1980,101893.0716,E
BEL,GDP,TOT,MLN_USD,A,1981,111094.9175,E
BEL,GDP,TOT,MLN_USD,A,1982,118688.9641,E
BEL,GDP,TOT,MLN_USD,A,1983,123759.9766,E
BEL,GDP,TOT,MLN_USD,A,1984,131311.9752,E
BEL,GDP,TOT,MLN_USD,A,1985,137751.8509,E
BEL,GDP,TOT,MLN_USD,A,1986,143092.714,E
BEL,GDP,TOT,MLN_USD,A,1987,150128.3032,E
BEL,GDP,TOT,MLN_USD,A,1988,162723.2684,E
BEL,GDP,TOT,MLN_USD,A,1989,174914.6068,E
BEL,GDP,TOT,MLN_USD,A,1990,187075.7486,E
BEL,GDP,TOT,MLN_USD,A,1991,196845.9695,E
BEL,GDP,TOT,MLN_USD,A,1992,204414.8887,E
BEL,GDP,TOT,MLN_USD,A,1993,207265.4604,E
BEL,GDP,TOT,MLN_USD,A,1994,218507.0801,E
BEL,GDP,TOT,MLN_USD,A,1995,228383.9763,
BEL,GDP,TOT,MLN_USD,A,1996,232446.1639,
BEL,GDP,TOT,MLN_USD,A,1997,243499.6827,
BEL,GDP,TOT,MLN_USD,A,1998,250421.8816,
BEL,GDP,TOT,MLN_USD,A,1999,262228.592,
BEL,GDP,TOT,MLN_USD,A,2000,286871.0179,
BEL,GDP,TOT,MLN_USD,A,2001,298131.4711,
BEL,GDP,TOT,MLN_USD,A,2002,314972.1581,
BEL,GDP,TOT,MLN_USD,A,2003,322223.5137,
BEL,GDP,TOT,MLN_USD,A,2004,336076.6049,
BEL,GDP,TOT,MLN_USD,A,2005,349276.761,
BEL,GDP,TOT,MLN_USD,A,2006,373301.1436,
BEL,GDP,TOT,MLN_USD,A,2007,391729.718,
BEL,GDP,TOT,MLN_USD,A,2008,408408.7386,
BEL,GDP,TOT,MLN_USD,A,2009,410288.2333,
BEL,GDP,TOT,MLN_USD,A,2010,436814.9437,
BEL,GDP,TOT,MLN_USD,A,2011,455705.2637,
BEL,GDP,TOT,MLN_USD,A,2012,471332.4746,
BEL,GDP,TOT,MLN_USD,A,2013,486673.7112,
BEL,GDP,TOT,MLN_USD,A,2014,499939.4805,
BEL,GDP,TOT,MLN_USD,A,2015,512016.4929,
BEL,GDP,TOT,MLN_USD,A,2016,525969.1212,
BEL,GDP,TOT,MLN_USD,A,2017,544041.9709,
BEL,GDP,TOT,USD_CAP,A,1970,3901.650108,E
BEL,GDP,TOT,USD_CAP,A,1971,4238.238262,E
BEL,GDP,TOT,USD_CAP,A,1972,4636.853981,E
BEL,GDP,TOT,USD_CAP,A,1973,5173.07431,E
BEL,GDP,TOT,USD_CAP,A,1974,5856.498557,E
BEL,GDP,TOT,USD_CAP,A,1975,6296.575847,E
BEL,GDP,TOT,USD_CAP,A,1976,7006.213075,E
BEL,GDP,TOT,USD_CAP,A,1977,7479.010357,E
BEL,GDP,TOT,USD_CAP,A,1978,8224.903378,E
BEL,GDP,TOT,USD_CAP,A,1979,9105.90509,E
BEL,GDP,TOT,USD_CAP,A,1980,10335.0311,E
BEL,GDP,TOT,USD_CAP,A,1981,11269.51892,E
BEL,GDP,TOT,USD_CAP,A,1982,12042.30561,E
BEL,GDP,TOT,USD_CAP,A,1983,12559.36438,E
BEL,GDP,TOT,USD_CAP,A,1984,13324.40134,E
BEL,GDP,TOT,USD_CAP,A,1985,13975.02799,E
BEL,GDP,TOT,USD_CAP,A,1986,14513.91764,E
BEL,GDP,TOT,USD_CAP,A,1987,15210.5677,E
BEL,GDP,TOT,USD_CAP,A,1988,16430.05537,E
BEL,GDP,TOT,USD_CAP,A,1989,17597.04293,E
BEL,GDP,TOT,USD_CAP,A,1990,18767.63128,E
BEL,GDP,TOT,USD_CAP,A,1991,19672.79328,E
BEL,GDP,TOT,USD_CAP,A,1992,20345.86332,E
BEL,GDP,TOT,USD_CAP,A,1993,20549.81761,E
BEL,GDP,TOT,USD_CAP,A,1994,21600.14632,E
BEL,GDP,TOT,USD_CAP,A,1995,22529.74019,
BEL,GDP,TOT,USD_CAP,A,1996,22885.31691,
BEL,GDP,TOT,USD_CAP,A,1997,23917.06932,
BEL,GDP,TOT,USD_CAP,A,1998,24543.94606,
BEL,GDP,TOT,USD_CAP,A,1999,25643.32017,
BEL,GDP,TOT,USD_CAP,A,2000,27984.68617,
BEL,GDP,TOT,USD_CAP,A,2001,28981.38146,
BEL,GDP,TOT,USD_CAP,A,2002,30482.15989,
BEL,GDP,TOT,USD_CAP,A,2003,31054.69484,
BEL,GDP,TOT,USD_CAP,A,2004,32249.93809,
BEL,GDP,TOT,USD_CAP,A,2005,33331.11566,
BEL,GDP,TOT,USD_CAP,A,2006,35390.70379,
BEL,GDP,TOT,USD_CAP,A,2007,36865.20967,
BEL,GDP,TOT,USD_CAP,A,2008,38133.4023,
BEL,GDP,TOT,USD_CAP,A,2009,38003.72669,
BEL,GDP,TOT,USD_CAP,A,2010,40089.47721,
BEL,GDP,TOT,USD_CAP,A,2011,41450.36053,
BEL,GDP,TOT,USD_CAP,A,2012,42585.15311,
BEL,GDP,TOT,USD_CAP,A,2013,43745.95156,
BEL,GDP,TOT,USD_CAP,A,2014,44717.30595,
BEL,GDP,TOT,USD_CAP,A,2015,45561.17574,
BEL,GDP,TOT,USD_CAP,A,2016,46566.5446,
BEL,GDP,TOT,USD_CAP,A,2017,47941.66117,
CAN,GDP,TOT,MLN_USD,A,1970,98753.8565,E
CAN,GDP,TOT,MLN_USD,A,1971,108041.1042,E
CAN,GDP,TOT,MLN_USD,A,1972,118856.9252,E
CAN,GDP,TOT,MLN_USD,A,1973,134053.0654,E
CAN,GDP,TOT,MLN_USD,A,1974,151487.4903,E
CAN,GDP,TOT,MLN_USD,A,1975,168534.7267,E
CAN,GDP,TOT,MLN_USD,A,1976,187029.1021,E
CAN,GDP,TOT,MLN_USD,A,1977,205499.5565,E
CAN,GDP,TOT,MLN_USD,A,1978,228623.3055,E
CAN,GDP,TOT,MLN_USD,A,1979,256915.3278,E
CAN,GDP,TOT,MLN_USD,A,1980,286142.5001,E
CAN,GDP,TOT,MLN_USD,A,1981,323817.2301,
CAN,GDP,TOT,MLN_USD,A,1982,332894.0524,
CAN,GDP,TOT,MLN_USD,A,1983,355029.9786,
CAN,GDP,TOT,MLN_USD,A,1984,389410.4894,
CAN,GDP,TOT,MLN_USD,A,1985,420894.9799,
CAN,GDP,TOT,MLN_USD,A,1986,438669.6138,
CAN,GDP,TOT,MLN_USD,A,1987,468289.7836,
CAN,GDP,TOT,MLN_USD,A,1988,506152.7621,
CAN,GDP,TOT,MLN_USD,A,1989,538052.2808,
CAN,GDP,TOT,MLN_USD,A,1990,558816.8605,
CAN,GDP,TOT,MLN_USD,A,1991,565143.0412,
CAN,GDP,TOT,MLN_USD,A,1992,583129.5916,
CAN,GDP,TOT,MLN_USD,A,1993,612855.6274,
CAN,GDP,TOT,MLN_USD,A,1994,654022.5781,
CAN,GDP,TOT,MLN_USD,A,1995,685541.4527,
CAN,GDP,TOT,MLN_USD,A,1996,709302.4016,
CAN,GDP,TOT,MLN_USD,A,1997,752318.5152,
CAN,GDP,TOT,MLN_USD,A,1998,790003.1995,
CAN,GDP,TOT,MLN_USD,A,1999,843506.5208,
CAN,GDP,TOT,MLN_USD,A,2000,898024.6847,
CAN,GDP,TOT,MLN_USD,A,2001,934754.5473,
CAN,GDP,TOT,MLN_USD,A,2002,967558.4379,
CAN,GDP,TOT,MLN_USD,A,2003,1019620.383,
CAN,GDP,TOT,MLN_USD,A,2004,1079987.408,
CAN,GDP,TOT,MLN_USD,A,2005,1167581.235,
CAN,GDP,TOT,MLN_USD,A,2006,1238000.732,
CAN,GDP,TOT,MLN_USD,A,2007,1297164.505,
CAN,GDP,TOT,MLN_USD,A,2008,1339060.553,
CAN,GDP,TOT,MLN_USD,A,2009,1304488.287,
CAN,GDP,TOT,MLN_USD,A,2010,1361136.052,
CAN,GDP,TOT,MLN_USD,A,2011,1427466.543,
CAN,GDP,TOT,MLN_USD,A,2012,1464565.336,
CAN,GDP,TOT,MLN_USD,A,2013,1550269.806,
CAN,GDP,TOT,MLN_USD,A,2014,1617564.49,
CAN,GDP,TOT,MLN_USD,A,2015,1599827.514,
CAN,GDP,TOT,MLN_USD,A,2016,1625361.347,
CAN,GDP,TOT,MLN_USD,A,2017,1714447.053,
CAN,GDP,TOT,USD_CAP,A,1970,4555.027261,E
CAN,GDP,TOT,USD_CAP,A,1971,4919.449356,E
CAN,GDP,TOT,USD_CAP,A,1972,5349.466577,E
CAN,GDP,TOT,USD_CAP,A,1973,5960.092233,E
CAN,GDP,TOT,USD_CAP,A,1974,6641.866721,E
CAN,GDP,TOT,USD_CAP,A,1975,7282.233251,E
CAN,GDP,TOT,USD_CAP,A,1976,7975.719977,E
CAN,GDP,TOT,USD_CAP,A,1977,8661.422757,E
CAN,GDP,TOT,USD_CAP,A,1978,9540.598788,E
CAN,GDP,TOT,USD_CAP,A,1979,10615.65856,E
CAN,GDP,TOT,USD_CAP,A,1980,11671.82195,E
CAN,GDP,TOT,USD_CAP,A,1981,13046.66958,
CAN,GDP,TOT,USD_CAP,A,1982,13253.76522,
CAN,GDP,TOT,USD_CAP,A,1983,13996.04456,
CAN,GDP,TOT,USD_CAP,A,1984,15207.15755,
CAN,GDP,TOT,USD_CAP,A,1985,16287.17168,
CAN,GDP,TOT,USD_CAP,A,1986,16807.08588,
CAN,GDP,TOT,USD_CAP,A,1987,17706.99318,
CAN,GDP,TOT,USD_CAP,A,1988,18892.11488,
CAN,GDP,TOT,USD_CAP,A,1989,19725.65167,
CAN,GDP,TOT,USD_CAP,A,1990,20180.35014,
CAN,GDP,TOT,USD_CAP,A,1991,20156.742,
CAN,GDP,TOT,USD_CAP,A,1992,20553.52879,
CAN,GDP,TOT,USD_CAP,A,1993,21365.19678,
CAN,GDP,TOT,USD_CAP,A,1994,22551.98711,
CAN,GDP,TOT,USD_CAP,A,1995,23395.47392,
CAN,GDP,TOT,USD_CAP,A,1996,23954.64976,
CAN,GDP,TOT,USD_CAP,A,1997,25156.15005,
CAN,GDP,TOT,USD_CAP,A,1998,26197.93292,
CAN,GDP,TOT,USD_CAP,A,1999,27745.75131,
CAN,GDP,TOT,USD_CAP,A,2000,29265.22148,
CAN,GDP,TOT,USD_CAP,A,2001,30133.35228,
CAN,GDP,TOT,USD_CAP,A,2002,30854.82303,
CAN,GDP,TOT,USD_CAP,A,2003,32224.01572,
CAN,GDP,TOT,USD_CAP,A,2004,33815.11907,
CAN,GDP,TOT,USD_CAP,A,2005,36212.64356,
CAN,GDP,TOT,USD_CAP,A,2006,38009.87218,
CAN,GDP,TOT,USD_CAP,A,2007,39441.96499,
CAN,GDP,TOT,USD_CAP,A,2008,40277.61824,
CAN,GDP,TOT,USD_CAP,A,2009,38791.07104,
CAN,GDP,TOT,USD_CAP,A,2010,40027.20436,
CAN,GDP,TOT,USD_CAP,A,2011,41565.25893,
CAN,GDP,TOT,USD_CAP,A,2012,42145.10409,
CAN,GDP,TOT,USD_CAP,A,2013,44101.43059,
CAN,GDP,TOT,USD_CAP,A,2014,45519.87193,
CAN,GDP,TOT,USD_CAP,A,2015,44647.37135,
CAN,GDP,TOT,USD_CAP,A,2016,44819.49802,
CAN,GDP,TOT,USD_CAP,A,2017,46704.89203,
CZE,GDP,TOT,MLN_USD,A,1990,130887.0652,E
CZE,GDP,TOT,MLN_USD,A,1991,119535.1853,E
CZE,GDP,TOT,MLN_USD,A,1992,121640.7514,E
CZE,GDP,TOT,MLN_USD,A,1993,124611.9953,E
CZE,GDP,TOT,MLN_USD,A,1994,130966.405,E
CZE,GDP,TOT,MLN_USD,A,1995,142015.8324,
CZE,GDP,TOT,MLN_USD,A,1996,150399.0401,
CZE,GDP,TOT,MLN_USD,A,1997,151716.3194,
CZE,GDP,TOT,MLN_USD,A,1998,153326.7984,
CZE,GDP,TOT,MLN_USD,A,1999,157590.9647,
CZE,GDP,TOT,MLN_USD,A,2000,166011.2852,
CZE,GDP,TOT,MLN_USD,A,2001,179496.6089,
CZE,GDP,TOT,MLN_USD,A,2002,185474.0896,
CZE,GDP,TOT,MLN_USD,A,2003,198015.9171,
CZE,GDP,TOT,MLN_USD,A,2004,212167.0967,
CZE,GDP,TOT,MLN_USD,A,2005,224201.3809,
CZE,GDP,TOT,MLN_USD,A,2006,243476.788,
CZE,GDP,TOT,MLN_USD,A,2007,269009.2528,
CZE,GDP,TOT,MLN_USD,A,2008,289157.1486,
CZE,GDP,TOT,MLN_USD,A,2009,288193.5936,
CZE,GDP,TOT,MLN_USD,A,2010,290082.5272,
CZE,GDP,TOT,MLN_USD,A,2011,302260.2358,
CZE,GDP,TOT,MLN_USD,A,2012,305309.3707,
CZE,GDP,TOT,MLN_USD,A,2013,320535.0972,
CZE,GDP,TOT,MLN_USD,A,2014,339582.5988,
CZE,GDP,TOT,MLN_USD,A,2015,352963.1754,
CZE,GDP,TOT,MLN_USD,A,2016,366767.8612,
CZE,GDP,TOT,MLN_USD,A,2017,384930.3781,
CZE,GDP,TOT,USD_CAP,A,1990,12630.54609,E
CZE,GDP,TOT,USD_CAP,A,1991,11595.58373,E
CZE,GDP,TOT,USD_CAP,A,1992,11789.39976,E
CZE,GDP,TOT,USD_CAP,A,1993,12062.40789,E
CZE,GDP,TOT,USD_CAP,A,1994,12670.69973,E
CZE,GDP,TOT,USD_CAP,A,1995,13746.8924,
CZE,GDP,TOT,USD_CAP,A,1996,14580.11568,
CZE,GDP,TOT,USD_CAP,A,1997,14724.53327,
CZE,GDP,TOT,USD_CAP,A,1998,14893.40916,
CZE,GDP,TOT,USD_CAP,A,1999,15325.70992,
CZE,GDP,TOT,USD_CAP,A,2000,16160.74341,
CZE,GDP,TOT,USD_CAP,A,2001,17556.06789,
